804e2820  80590cfc nt!NtOpenThread
804e2824  80570bbe nt!NtOpenThreadToken
804e2828  80570b2f nt!NtOpenThreadTokenEx
804e282c  8064a103 nt!NtOpenTimer
804e2830  8059be7a nt!NtPlugPlayControl
804e2834  8059abdc nt!NtPowerInformation
804e2838  80596c0c nt!NtPrivilegeCheck
804e283c  8059ddc8 nt!NtPrivilegeObjectAuditAlarm
804e2840  805a96f4 nt!NtPrivilegedServiceAuditAlarm
804e2844  80574f70 nt!NtProtectVirtualMemory
804e2848  805d9a2e nt!NtPulseEvent
804e284c  805707ea nt!NtQueryAttributesFile
804e2850  80649b8b nt!NtSetBootEntryOrder
804e2854  80649b8b nt!NtSetBootEntryOrder
804e2858  804f97c5 nt!NtQueryDebugFilterState
804e285c  80566d02 nt!NtQueryDefaultLocale
804e2860  80581f1f nt!NtQueryDefaultUILanguage
804e2864  8057d37b nt!NtQueryDirectoryFile
804e2868  80587913 nt!NtQueryDirectoryObject
804e286c  806170e8 nt!NtQueryEaFile
804e2870  8057b30c nt!NtQueryEvent
804e2874  8058004a nt!NtQueryFullAttributesFile
804e2878  805d57e8 nt!NtQueryInformationAtom
804e287c  8057bc38 nt!NtQueryInformationFile
804e2880  80583d25 nt!NtQueryInformationJobObject
804e2884  80623917 nt!NtQueryInformationPort
804e2888  80570d5c nt!NtQueryInformationProcess
804e288c  8056731e nt!NtQueryInformationThread
804e2890  8057188b nt!NtQueryInformationToken
804e2894  80581c74 nt!NtQueryInstallUILanguage
804e2898  8064acaf nt!NtQueryIntervalProfile
804e289c  80616f60 nt!NtQueryIoCompletion
804e28a0  80573c9e nt!NtQueryKey
804e28a4  8064f3a3 nt!NtQueryMultipleValueKey
804e28a8  8064a636 nt!NtQueryMutant
804e28ac  8058292c nt!NtQueryObject
804e28b0  8064f5ad nt!NtQueryOpenSubKeys
804e28b4  80567672 nt!NtQueryPerformanceCounter
804e28b8  806179a9 nt!NtQueryQuotaInformationFile
804e28bc  80580d06 nt!NtQuerySection
804e28c0  80596aac nt!NtQuerySecurityObject
804e28c4  8064942f nt!NtQuerySemaphore
804e28c8  8057afcc nt!NtQuerySymbolicLinkObject
804e28cc  80649bb3 nt!NtQuerySystemEnvironmentValue
804e28d0  80649b50 nt!NtSetSystemEnvironmentValueEx
804e28d4  8057f473 nt!NtQuerySystemInformation
