bankA year sizeofA bankB sizeofB diff
1037115 1990 18.34921862 1078426 15.68573904 2.663479584
1069125 1990 16.98278251 1094211 15.84940594 1.133376571
1073757 1990 17.99426543 1112076 17.29764477 0.696620659
1069778 1990 17.63704872 1248902 16.98128307 0.655765648
1120754 1990 17.23735661 1027004 15.08500983 2.152346781
1073757 1990 17.99426543 1077689 16.4100456 1.584219827
1037115 1990 18.34921862 1027602 14.95063734 3.398581282
1039502 1990 18.10623024 1027095 17.84440118 0.261829063
1069778 1990 17.63704872 1094640 15.7187625 1.918286217
1068294 1990 17.5913207 1023538 17.75430113 0.162980429
1039502 1990 18.10623024 1072237 16.29046367 1.815766571
1073757 1990 17.99426543 1042351 19.19534339 1.201077963
1120754 1990 17.23735661 1116300 16.97821125 0.259145359
1069125 1990 16.98278251 1032473 17.96806113 0.985278619
1068294 1990 17.5913207 1068191 16.2843543 1.306966401
1069778 1990 17.63704872 1079946 15.41014991 2.226898811
1037115 1990 18.34921862 1078921 15.81127833 2.537940291
1073757 1990 17.99426543 1040795 18.40113518 0.406869748
1120754 1990 17.23735661 1032473 17.96806113 0.730704519
1037115 1990 18.34921862 1093634 14.56646616 3.782752456
1037115 1990 18.34921862 1033470 17.63079909 0.718419527
1069778 1990 17.63704872 1093634 14.56646616 3.070582558
1037115 1990 18.34921862 1077689 16.4100456 1.939173016
1140743 1990 16.97617346 1068762 17.17917048 0.20299702
1069778 1990 17.63704872 1077689 16.4100456 1.227003118
1069125 1990 16.98278251 1076776 17.28790813 0.305125615
1069778 1990 17.63704872 1199611 16.28268704 1.354361684
1073757 1990 17.99426543 1201028 17.74299344 0.251271989
1073757 1990 17.99426543 1199844 16.4413856 1.552879834
1069125 1990 16.98278251 1113514 17.29696641 0.314183895
1069778 1990 17.63704872 1076776 17.28790813 0.349140592
1068294 1990 17.5913207 1117679 13.74849003 3.842830679
1037115 1990 18.34921862 1042351 19.19534339 0.846124774
1069125 1990 16.98278251 1020603 17.11662974 0.13384723
1039502 1990 18.10623024 1027602 14.95063734 3.155592902
1068294 1990 17.5913207 1033872 16.3663514 1.224969309
1073757 1990 17.99426543 1035296 17.93503542 0.059230011
1140743 1990 16.97617346 1130892 15.18671768 1.789455779
1069778 1990 17.63704872 1042351 19.19534339 1.558294672
1068294 1990 17.5913207 1039454 13.18804812 4.403272588
1069125 1990 16.98278251 1112076 17.29764477 0.314862257
1068294 1990 17.5913207 1027518 15.41763076 2.173689943
1037115 1990 18.34921862 1033872 16.3663514 1.982867224
1069778 1990 17.63704872 1049154 14.94499955 2.692049171
1039502 1990 18.10623024 1080371 15.31369485 2.792535393
1069125 1990 16.98278251 1049154 14.94499955 2.037782964
1140743 1990 16.97617346 1199778 17.10191788 0.125744427
1140743 1990 16.97617346 1031449 13.41800618 3.558167277
